codigo_ponto;url_detalhe;imagem_origem_url;imagem_local;html_local;updated_at_utc
2900005368;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005368;;;data/raw/html_pocos/2900005368.html;2026-04-10T17:27:23.511243+00:00
2900005369;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005369;;;data/raw/html_pocos/2900005369.html;2026-04-10T17:27:23.904487+00:00
2900005370;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005370;;;data/raw/html_pocos/2900005370.html;2026-04-10T17:27:24.301132+00:00
2900005371;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005371;;;data/raw/html_pocos/2900005371.html;2026-04-10T17:27:24.697543+00:00
2900005377;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005377;;;data/raw/html_pocos/2900005377.html;2026-04-10T17:27:25.093690+00:00
2900008369;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008369;;;data/raw/html_pocos/2900008369.html;2026-04-10T17:27:25.491466+00:00
2900013535;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013535;;;data/raw/html_pocos/2900013535.html;2026-04-10T17:27:25.885136+00:00
2900013540;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013540;;;data/raw/html_pocos/2900013540.html;2026-04-10T17:27:26.287560+00:00
2900013575;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013575;;;data/raw/html_pocos/2900013575.html;2026-04-10T17:27:26.687514+00:00
2900013581;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013581;;;data/raw/html_pocos/2900013581.html;2026-04-10T17:27:27.081882+00:00
2900013637;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013637;;;data/raw/html_pocos/2900013637.html;2026-04-10T17:27:27.473866+00:00
2900013639;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013639;;;data/raw/html_pocos/2900013639.html;2026-04-10T17:27:27.869559+00:00
2900013642;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900013642;;;data/raw/html_pocos/2900013642.html;2026-04-10T17:27:28.271159+00:00
2900022532;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022532;;;data/raw/html_pocos/2900022532.html;2026-04-10T17:27:28.670580+00:00
2900022533;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022533;;;data/raw/html_pocos/2900022533.html;2026-04-10T17:27:29.067229+00:00
2900022541;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022541;;;data/raw/html_pocos/2900022541.html;2026-04-10T17:27:29.465544+00:00
2900022542;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022542;;;data/raw/html_pocos/2900022542.html;2026-04-10T17:27:29.863946+00:00
2900023526;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023526;;;data/raw/html_pocos/2900023526.html;2026-04-10T17:27:30.298134+00:00
2900023527;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023527;;;data/raw/html_pocos/2900023527.html;2026-04-10T17:27:30.700491+00:00
2900023528;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023528;;;data/raw/html_pocos/2900023528.html;2026-04-10T17:27:31.101198+00:00
2900023530;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023530;;;data/raw/html_pocos/2900023530.html;2026-04-10T17:27:31.508070+00:00
2900024315;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024315;;;data/raw/html_pocos/2900024315.html;2026-04-10T17:27:31.908826+00:00
2900024631;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024631;;;data/raw/html_pocos/2900024631.html;2026-04-10T17:27:32.309510+00:00
2900024634;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024634;;;data/raw/html_pocos/2900024634.html;2026-04-10T17:27:32.707897+00:00
2900024638;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024638;;;data/raw/html_pocos/2900024638.html;2026-04-10T17:27:33.109603+00:00
2900024643;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024643;;;data/raw/html_pocos/2900024643.html;2026-04-10T17:27:33.508859+00:00
2900024646;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024646;;;data/raw/html_pocos/2900024646.html;2026-04-10T17:27:33.922184+00:00
2900024648;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024648;;;data/raw/html_pocos/2900024648.html;2026-04-10T17:27:34.323681+00:00
2900026223;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026223;;;data/raw/html_pocos/2900026223.html;2026-04-10T17:27:34.720358+00:00
2900027560;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027560;;;data/raw/html_pocos/2900027560.html;2026-04-10T17:27:35.119891+00:00
2900028998;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900028998;;;data/raw/html_pocos/2900028998.html;2026-04-10T17:27:35.511027+00:00
2900028999;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900028999;;;data/raw/html_pocos/2900028999.html;2026-04-10T17:27:35.901355+00:00
2900029000;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029000;;;data/raw/html_pocos/2900029000.html;2026-04-10T17:27:36.292982+00:00
2900029001;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029001;;;data/raw/html_pocos/2900029001.html;2026-04-10T17:27:36.682130+00:00
2900029276;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029276;;;data/raw/html_pocos/2900029276.html;2026-04-10T17:27:37.076666+00:00
2900031559;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031559;;;data/raw/html_pocos/2900031559.html;2026-04-10T17:27:37.471012+00:00
2900035436;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900035436;;;data/raw/html_pocos/2900035436.html;2026-04-10T17:27:37.864458+00:00
2900001134;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001134;;;data/raw/html_pocos/2900001134.html;2026-04-10T17:27:38.256391+00:00
2900009158;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009158;;;data/raw/html_pocos/2900009158.html;2026-04-10T17:27:38.688135+00:00
2900009159;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009159;;;data/raw/html_pocos/2900009159.html;2026-04-10T17:27:39.086435+00:00
2900009160;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009160;;;data/raw/html_pocos/2900009160.html;2026-04-10T17:27:39.489502+00:00
2900009161;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009161;;;data/raw/html_pocos/2900009161.html;2026-04-10T17:27:39.891898+00:00
2900009162;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009162;;;data/raw/html_pocos/2900009162.html;2026-04-10T17:27:40.292230+00:00
2900009163;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009163;;;data/raw/html_pocos/2900009163.html;2026-04-10T17:27:40.687803+00:00
2900009164;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009164;;;data/raw/html_pocos/2900009164.html;2026-04-10T17:27:41.087697+00:00
2900009165;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009165;;;data/raw/html_pocos/2900009165.html;2026-04-10T17:27:41.483202+00:00
2900009166;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009166;;;data/raw/html_pocos/2900009166.html;2026-04-10T17:27:41.883361+00:00
2900009167;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009167;;;data/raw/html_pocos/2900009167.html;2026-04-10T17:27:42.282545+00:00
2900009168;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009168;;;data/raw/html_pocos/2900009168.html;2026-04-10T17:27:42.681911+00:00
2900009169;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009169;;;data/raw/html_pocos/2900009169.html;2026-04-10T17:27:43.083415+00:00
2900009170;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009170;;;data/raw/html_pocos/2900009170.html;2026-04-10T17:27:43.481492+00:00
2900009171;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009171;;;data/raw/html_pocos/2900009171.html;2026-04-10T17:27:43.880254+00:00
2900009172;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009172;;;data/raw/html_pocos/2900009172.html;2026-04-10T17:27:44.283090+00:00
2900009173;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900009173;;;data/raw/html_pocos/2900009173.html;2026-04-10T17:27:44.684235+00:00
