codigo_ponto;perfuracao__data;perfuracao__profundidade_final_m;perfuracao__metodo;boca_do_tubo__data;boca_do_tubo__diametro_pol;profundidade_util__data;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc
2900033822;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033822;data/raw/html_pocos/2900033822.html;;;2026-04-10T17:27:11.534132+00:00
2900033822;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033822;data/raw/html_pocos/2900033822.html;;;2026-04-10T17:27:11.534132+00:00
2900033823;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033823;data/raw/html_pocos/2900033823.html;;;2026-04-10T17:27:11.935612+00:00
2900033823;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033823;data/raw/html_pocos/2900033823.html;;;2026-04-10T17:27:11.935612+00:00
2900033824;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033824;data/raw/html_pocos/2900033824.html;;;2026-04-10T17:27:12.336901+00:00
2900033824;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033824;data/raw/html_pocos/2900033824.html;;;2026-04-10T17:27:12.336901+00:00
2900033960;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033960;data/raw/html_pocos/2900033960.html;;;2026-04-10T17:27:12.760849+00:00
2900033960;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033960;data/raw/html_pocos/2900033960.html;;;2026-04-10T17:27:12.760849+00:00
2900000513;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900000513;data/raw/html_pocos/2900000513.html;;;2026-04-10T17:27:13.154077+00:00
2900000513;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900000513;data/raw/html_pocos/2900000513.html;;;2026-04-10T17:27:13.154077+00:00
2900001692;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001692;data/raw/html_pocos/2900001692.html;;;2026-04-10T17:27:13.553870+00:00
2900001692;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001692;data/raw/html_pocos/2900001692.html;;;2026-04-10T17:27:13.553870+00:00
2900008338;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008338;data/raw/html_pocos/2900008338.html;;;2026-04-10T17:27:13.953693+00:00
2900008338;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008338;data/raw/html_pocos/2900008338.html;;;2026-04-10T17:27:13.953693+00:00
2900008339;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008339;data/raw/html_pocos/2900008339.html;;;2026-04-10T17:27:14.349629+00:00
2900008339;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008339;data/raw/html_pocos/2900008339.html;;;2026-04-10T17:27:14.349629+00:00
2900008340;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008340;data/raw/html_pocos/2900008340.html;;;2026-04-10T17:27:14.745085+00:00
2900008340;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008340;data/raw/html_pocos/2900008340.html;;;2026-04-10T17:27:14.745085+00:00
2900008342;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008342;data/raw/html_pocos/2900008342.html;;;2026-04-10T17:27:15.138597+00:00
2900008342;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008342;data/raw/html_pocos/2900008342.html;;;2026-04-10T17:27:15.138597+00:00
2900008343;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008343;data/raw/html_pocos/2900008343.html;;;2026-04-10T17:27:15.531345+00:00
2900008343;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008343;data/raw/html_pocos/2900008343.html;;;2026-04-10T17:27:15.531345+00:00
2900008344;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008344;data/raw/html_pocos/2900008344.html;;;2026-04-10T17:27:15.928015+00:00
2900008344;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008344;data/raw/html_pocos/2900008344.html;;;2026-04-10T17:27:15.928015+00:00
2900008346;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008346;data/raw/html_pocos/2900008346.html;;;2026-04-10T17:27:16.324922+00:00
2900008346;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008346;data/raw/html_pocos/2900008346.html;;;2026-04-10T17:27:16.324922+00:00
2900008347;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008347;data/raw/html_pocos/2900008347.html;;;2026-04-10T17:27:16.725235+00:00
2900008347;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900008347;data/raw/html_pocos/2900008347.html;;;2026-04-10T17:27:16.725235+00:00
