codigo_ponto;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;analises_quimicas__amostra;analises_quimicas__data_da_coleta;analises_quimicas__condutividade_eletrica_s_cm;analises_quimicas__qualidade_da_agua_pt_co;analises_quimicas__sabor_da_agua;analises_quimicas__qualidade_da_agua_odor;analises_quimicas__temperatura_co;analises_quimicas__turbides_ntu;analises_quimicas__solidos_suspensos_mg_l;analises_quimicas__solidos_sedimentaveis_mg_l;analises_quimicas__aspecto_natural;analises_quimicas__parametro;analises_quimicas__unidade
2900001698;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001698;data/raw/html_pocos/2900001698.html;;;2026-04-10T17:27:08.366928+00:00;;;;;;;;;;;;;
2900001698;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001698;data/raw/html_pocos/2900001698.html;;;2026-04-10T17:27:08.366928+00:00;;;;;;;;;;;;;
2900001699;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001699;data/raw/html_pocos/2900001699.html;;;2026-04-10T17:27:08.764940+00:00;;;;;;;;;;;;;
2900001699;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900001699;data/raw/html_pocos/2900001699.html;;;2026-04-10T17:27:08.764940+00:00;;;;;;;;;;;;;
2900023756;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023756;data/raw/html_pocos/2900023756.html;;;2026-04-10T17:27:09.166688+00:00;CERB 2-3171;14/08/2009;432.4;5;BOM;ISENTA;0;ND;227;0;;;
2900023756;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023756;data/raw/html_pocos/2900023756.html;;;2026-04-10T17:27:09.166688+00:00;CERB 2-3171;14/08/2009;432.4;5;BOM;ISENTA;0;ND;227;0;;;
2900030002;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030002;data/raw/html_pocos/2900030002.html;;;2026-04-10T17:27:09.560849+00:00;;;;;;;;;;;;;
2900030002;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900030002;data/raw/html_pocos/2900030002.html;;;2026-04-10T17:27:09.560849+00:00;;;;;;;;;;;;;
2900031222;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031222;data/raw/html_pocos/2900031222.html;;;2026-04-10T17:27:09.947981+00:00;;;;;;;;;;;;;
2900031222;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900031222;data/raw/html_pocos/2900031222.html;;;2026-04-10T17:27:09.947981+00:00;;;;;;;;;;;;;
2900033599;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033599;data/raw/html_pocos/2900033599.html;;;2026-04-10T17:27:10.341096+00:00;;;;;;;;;;;;;
2900033599;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900033599;data/raw/html_pocos/2900033599.html;;;2026-04-10T17:27:10.341096+00:00;;;;;;;;;;;;;
