codigo_ponto;bloco;de_m;ate_m;polegadas;milimetros;material;diametro_pol;diametro_mm;ranhura
2900001698;diametro;0;5.7;8;203.2000;;;;
2900001698;diametro;5.7;55;6;152.4000;;;;
2900001698;revestimento;0;5.6;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001698;espaco_anular;0;0.9;;;Cimenta̤̣o;;;
2900001699;diametro;0;38.5;10;254.0000;;;;
2900001699;revestimento;0;20.86;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001699;revestimento;23.08;29.08;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001699;revestimento;32.29;38.5;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001699;filtro;20.86;23.08;;;Espiralado perfil redondo galvan.;6;152.4;0
2900001699;filtro;29.08;32.29;;;Espiralado perfil redondo galvan.;6;152.4;0
2900001699;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900001699;espaco_anular;1.2;38.5;;;Pre-filtro;;;
2900023756;diametro;0;50;8;203.2000;;;;
2900023756;diametro;50;100;6;152.4000;;;;
2900023756;revestimento;0;50;;;A̤o sem costura com rosca e luva;6;152.4;
2900023756;filtro;43.2;48.8;;;A̤o galvanizado sem rosca e luva;6;152.4;0
2900023756;espaco_anular;0;50;;;Cimenta̤̣o;;;
2900033821;diametro;0;6;8;203.2000;;;;
2900033821;diametro;6;64;6;152.4000;;;;
2900033821;revestimento;0;6;;;Plastico p.v.c.;6;152.4;
2900033821;revestimento;0;64;;;Plastico p.v.c.;4;101.6;
2900033821;filtro;36;40;;;Plastico p.v.c.;4;101.6;0
2900033821;filtro;44;48;;;Plastico p.v.c.;4;101.6;0
2900033821;filtro;56;60;;;Plastico p.v.c.;4;101.6;0
2900033822;diametro;0;24;8;203.2000;;;;
2900033822;diametro;24;72;6;152.4000;;;;
2900033822;revestimento;0;24;;;Plastico p.v.c.;6;152.4;
2900033823;diametro;0;12;8;203.2000;;;;
2900033823;diametro;12;60;6;152.4000;;;;
2900033823;revestimento;0;12;;;Plastico p.v.c.;6;152.4;
2900033824;diametro;0;8;8;203.2000;;;;
2900033824;diametro;8;88;6;152.4000;;;;
2900033824;revestimento;0;8;;;Plastico p.v.c.;6;152.4;
2900033960;revestimento;0;49;;;Plastico geomecanico reforcado;6;152.4;
2900000513;diametro;0;10;10;254.0000;;;;
2900000513;diametro;10;26.5;8;203.2000;;;;
2900000513;revestimento;0;10;;;A̤o galvanizado com rosca e luva;8;203.2;
2900000513;espaco_anular;0;0.6;;;Cimenta̤̣o;;;
2900001692;diametro;0;2.3;8;203.2000;;;;
2900001692;diametro;2.3;70;6;152.4000;;;;
2900001692;revestimento;0;2.3;;;A̤o galvanizado com rosca e luva;6;152.4;
2900001692;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900008338;diametro;0;23.2;8;203.2000;;;;
2900008338;diametro;23.2;70;6;152.4000;;;;
2900008338;revestimento;0;23.2;;;A̤o sem costura com rosca e luva;6;152.4;
2900008338;espaco_anular;0;0.8;;;Cimenta̤̣o;;;
2900008339;diametro;0;5;8;203.2000;;;;
2900008339;diametro;5;80;6;152.4000;;;;
2900008339;revestimento;0;5;;;A̤o galvanizado com rosca e luva;6;152.4;
2900008340;diametro;0;5;8;203.2000;;;;
2900008340;diametro;5;80;6;152.4000;;;;
2900008340;revestimento;0;5;;;A̤o sem costura com rosca e luva;6;152.4;
2900008342;diametro;0;5;8;203.2000;;;;
2900008342;diametro;5;96;6;152.4000;;;;
2900008342;revestimento;0;5;;;A̤o galvanizado com rosca e luva;6;152.4;
2900008343;diametro;0;2.8;8;203.2000;;;;
2900008343;diametro;2.8;68.5;6;152.4000;;;;
2900008343;revestimento;0;2.8;;;A̤o com costura;6;152.4;
2900008344;diametro;0;5.8;8;203.2000;;;;
2900008344;diametro;5.8;70;6;152.4000;;;;
2900008344;revestimento;0;5.8;;;A̤o sem costura com rosca e luva;6;152.4;
2900008344;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900008346;diametro;0;5.2;8;203.2000;;;;
2900008346;diametro;5.2;51;6;152.4000;;;;
2900008346;revestimento;0;5.2;;;A̤o sem costura com rosca e luva;6;152.4;
2900008346;espaco_anular;0;0.6;;;Cimenta̤̣o;;;
2900008347;diametro;0;5.2;8;203.2000;;;;
2900008347;diametro;5.2;70;6;152.4000;;;;
2900008347;revestimento;0;5.2;;;A̤o sem costura com rosca e luva;6;152.4;
2900008347;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900008349;diametro;0;5;8;203.2000;;;;
2900008349;diametro;5;70;6;152.4000;;;;
2900008349;revestimento;0;5;;;A̤o sem costura com rosca e luva;6;152.4;
2900008349;espaco_anular;0;0.8;;;Cimenta̤̣o;;;
2900008351;diametro;0;11;8;203.2000;;;;
2900008351;diametro;11;80;6;152.4000;;;;
2900008351;revestimento;0;11;;;A̤o sem costura com rosca e luva;6;152.4;
2900008351;espaco_anular;0;0.8;;;Cimenta̤̣o;;;
2900008353;diametro;0;5.3;8;203.2000;;;;
2900008353;diametro;5.3;102;6;152.4000;;;;
2900008353;revestimento;0;5.3;;;A̤o galvanizado com rosca e luva;6;152.4;
2900008353;espaco_anular;0;0.6;;;Cimenta̤̣o;;;
2900008354;diametro;0;3;8;203.2000;;;;
2900008354;diametro;3;70;6;152.4000;;;;
2900008354;revestimento;0;3;;;A̤o com costura;6;152.4;
2900008354;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900008356;diametro;0;5.8;8;203.2000;;;;
2900008356;diametro;5.8;50;6;152.4000;;;;
2900008356;revestimento;0;5.8;;;A̤o galvanizado com rosca e luva;6;152.4;
2900008356;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900008358;diametro;0;10;8;203.2000;;;;
2900008358;diametro;10;70;6;152.4000;;;;
2900008358;revestimento;0;10;;;A̤o sem costura com rosca e luva;6;152.4;
2900008358;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900008364;diametro;0;5.3;8;203.2000;;;;
2900008364;diametro;5.3;70;6;152.4000;;;;
2900008364;revestimento;0;5.3;;;A̤o sem costura com rosca e luva;6;152.4;
2900008364;espaco_anular;0;0.8;;;Cimenta̤̣o;;;
2900008365;diametro;0;5;8;203.2000;;;;
2900008365;diametro;5;70;6;152.4000;;;;
2900008365;revestimento;0;5;;;A̤o sem costura com rosca e luva;6;152.4;
2900008365;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900008366;diametro;0;5.6;8;203.2000;;;;
2900008366;diametro;5.6;70;6;152.4000;;;;
2900008366;revestimento;0;5.6;;;A̤o sem costura com rosca e luva;6;152.4;
2900008366;espaco_anular;0;1.2;;;Cimenta̤̣o;;;
2900008410;diametro;0;17;8;203.2000;;;;
2900008410;diametro;17;90;6;152.4000;;;;
2900008410;revestimento;0;17;;;A̤o galvanizado com rosca e luva;6;152.4;
2900008410;espaco_anular;0;0.9;;;Cimenta̤̣o;;;
2900023894;diametro;0;7;8;203.2000;;;;
2900023894;diametro;7;72;6;152.4000;;;;
2900023894;revestimento;0;7;;;A̤o sem costura com rosca e luva;6;152.4;
2900023894;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900023894;espaco_anular;1;7;;;Pre-filtro;;;
2900000508;diametro;0;12;8;203.2000;;;;
2900000508;diametro;12;60;6;152.4000;;;;
2900000508;revestimento;0;8;;;A̤o galvanizado com rosca e luva;6;152.4;
2900000508;revestimento;10;12;;;A̤o galvanizado com rosca e luva;6;152.4;
2900000508;filtro;8;10;;;Espiralado perfil redondo galvan.;6;152.4;0
2900000508;espaco_anular;0;0.9;;;Cimenta̤̣o;;;
2900000508;espaco_anular;0.9;12;;;Pre-filtro;;;
2900004002;diametro;0;16;9 7/8;250.8200;;;;
2900004002;diametro;16;44;8;203.2000;;;;
2900004002;diametro;44;111;6;152.4000;;;;
2900004002;revestimento;0;45;;;A̤o sem costura com rosca e luva;6;152.4;
2900004002;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900005367;diametro;0;5.3;8;203.2000;;;;
2900005367;diametro;5.3;60;6;152.4000;;;;
2900005367;revestimento;0;6;;;A̤o sem costura com rosca e luva;6;152.4;
2900005368;diametro;0;5.3;8;203.2000;;;;
2900005368;diametro;5.3;60;6;152.4000;;;;
2900005368;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900005369;diametro;0;6.5;8;203.2000;;;;
2900005369;diametro;6.5;77;6;152.4000;;;;
2900005370;diametro;0;5.3;8;203.2000;;;;
2900005370;diametro;5.3;70;6;152.4000;;;;
2900005370;revestimento;0;6.5;;;A̤o sem costura com rosca e luva;6;152.4;
2900005370;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900005371;diametro;0;5;8;203.2000;;;;
2900005371;diametro;5;70;6;152.4000;;;;
2900005371;revestimento;0;6;;;A̤o sem costura com rosca e luva;6;152.4;
2900005371;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900005377;diametro;0;23.9;12;304.8000;;;;
2900005377;diametro;23.9;24.4;9;228.6000;;;;
2900005377;diametro;24.4;70.16;6;152.4000;;;;
2900005377;revestimento;0;17.4;;;A̤o sem costura com rosca e luva;6;152.4;
2900005377;revestimento;19.7;21.87;;;A̤o sem costura com rosca e luva;6;152.4;
2900005377;filtro;17.7;19.7;;;Espiralado perfil redondo galvan.;6;152.4;0
2900005377;filtro;21.87;23.9;;;Espiralado perfil redondo galvan.;6;152.4;0
2900005377;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900005377;espaco_anular;0.5;23.9;;;Pre-filtro;;;
2900008369;diametro;0;11;8;203.2000;;;;
2900008369;diametro;11;40;6;152.4000;;;;
2900008369;revestimento;0;11;;;A̤o sem costura com rosca e luva;6;152.4;
2900008369;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900013535;diametro;0;6;8;203.2000;;;;
2900013535;diametro;6;70;6;152.4000;;;;
2900013535;revestimento;0;7;;;A̤o galvanizado com rosca e luva;6;152.4;
2900013540;diametro;0;10;8;203.2000;;;;
2900013540;diametro;10;70;6;152.4000;;;;
2900013540;revestimento;0;11;;;A̤o galvanizado com rosca e luva;6;152.4;
2900013540;espaco_anular;0;0.8;;;Cimenta̤̣o;;;
2900013540;espaco_anular;0.8;20;;;Material da forma̤̣o;;;
2900013575;diametro;0;19.9;12;304.8000;;;;
2900013575;diametro;19.9;20.4;8;203.2000;;;;
2900013575;diametro;20.4;70.1;6;152.4000;;;;
2900013575;revestimento;0;2;;;A̤o galvanizado com rosca e luva;6;152.4;
2900013575;filtro;17;19;;;A̤o galvanizado com rosca e luva;6;152.4;0
2900013575;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900013575;espaco_anular;0.5;20.4;;;Pre-filtro;;;
2900013581;diametro;0;5;8;203.2000;;;;
2900013581;diametro;5;78;6;152.4000;;;;
2900013581;revestimento;0;6;;;A̤o galvanizado com rosca e luva;6;152.4;
2900013581;espaco_anular;0;4;;;Material da forma̤̣o;;;
2900013637;revestimento;0;5;;;A̤o sem costura com rosca e luva;8;203.2;
2900013639;diametro;0;11;8;203.2000;;;;
2900013639;diametro;11;70;6;152.4000;;;;
2900013639;revestimento;0;70;;;A̤o sem costura com rosca e luva;6;152.4;
2900013642;diametro;0;5.1;8;203.2000;;;;
2900013642;diametro;5.1;62.5;6;152.4000;;;;
2900013642;revestimento;0;62.5;;;A̤o sem costura com rosca e luva;6;152.4;
2900013642;espaco_anular;0;0.08;;;Cimenta̤̣o;;;
2900013642;espaco_anular;0.08;6.4;;;Material da forma̤̣o;;;
2900022532;diametro;0;5;8;203.2000;;;;
2900022532;diametro;5;60;6;152.4000;;;;
2900022532;revestimento;0;5;;;A̤o sem costura com rosca e luva;6;152.4;
2900022532;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900022532;espaco_anular;0.5;5;;;Material da forma̤̣o;;;
2900022533;diametro;0;5.1;8;203.2000;;;;
2900022533;diametro;5.1;80;6;152.4000;;;;
2900022533;revestimento;0;5.1;;;A̤o sem costura com rosca e luva;6;152.4;
2900022533;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900022533;espaco_anular;0.5;5.1;;;Material da forma̤̣o;;;
2900022541;diametro;0;5;8;203.2000;;;;
2900022541;diametro;5;90;6;152.4000;;;;
2900022541;revestimento;0;5;;;A̤o sem costura com rosca e luva;6;152.4;
2900022541;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900022541;espaco_anular;0.5;5;;;Material da forma̤̣o;;;
2900022542;diametro;0;5.1;8;203.2000;;;;
2900022542;diametro;5.1;80;6;152.4000;;;;
2900022542;revestimento;0;5.1;;;A̤o sem costura com rosca e luva;6;152.4;
2900022542;espaco_anular;0;0.5;;;Cimenta̤̣o;;;
2900022542;espaco_anular;0.5;5.1;;;Material da forma̤̣o;;;
2900023526;diametro;0;5.4;8;203.2000;;;;
2900023526;diametro;5.4;80;6;152.4000;;;;
2900023526;revestimento;0;5.4;;;A̤o sem costura com rosca e luva;6;152.4;
2900023526;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900023527;diametro;0;12;8;203.2000;;;;
2900023527;diametro;12;90;6;152.4000;;;;
2900023527;revestimento;0;12;;;A̤o sem costura com rosca e luva;6;152.4;
2900023527;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900023527;espaco_anular;1;12;;;Pre-filtro;;;
2900023528;diametro;0;5.4;8;203.2000;;;;
2900023528;diametro;5.4;80;6;152.4000;;;;
2900023528;revestimento;0;5.4;;;A̤o sem costura com rosca e luva;6;152.4;
2900023528;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900023528;espaco_anular;1;6;;;Pre-filtro;;;
2900023530;diametro;0;5.4;6;152.4000;;;;
2900023530;diametro;5.4;120;6;152.4000;;;;
2900023530;revestimento;0;5.4;;;A̤o sem costura com rosca e luva;6;152.4;
2900023530;espaco_anular;0;1;;;Cimenta̤̣o;;;
2900023530;espaco_anular;1;5.4;;;Pre-filtro;;;
2900024315;diametro;0;11;8;203.2000;;;;
2900024315;diametro;11;72;6;152.4000;;;;
2900024315;revestimento;0;11;;;A̤o sem costura com rosca e luva;6;152.4;
2900024315;espaco_anular;0;11;;;Material da forma̤̣o;;;
2900024631;diametro;0;21.7;8;203.2000;;;;
2900024631;diametro;21.7;60;6;152.4000;;;;
2900024631;revestimento;0;18;;;Nao especificado;6;152.4;
2900024631;revestimento;19;21.7;;;Nao especificado;6;152.4;
2900024631;filtro;18;19;;;Outros;6;152.4;0
